Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703306,DICLO_OZ_6h_P17_A6_VC,9914,0.0012,-1.4984,-0.004710468,-0.001413141,-0.014131405,no cells,6,C,0,Control,0
Diclofenac,14703307,DICLO_OZ_6h_P17_B6_D1,99083,0.0117,19.2218,0.06042691,0.018128073,0.181280729,no cells,6,1,50,IC01,25
Diclofenac,14703308,DICLO_OZ_6h_P17_C6_D2,844775,0.1006,194.4437,0.611265954,0.183379786,1.833797862,no cells,6,2,320,IC50,160
Diclofenac,14703309,DICLO_OZ_6h_P17_D6_D3,1394022,0.167,325.2176,1.022375354,0.306712606,3.067126061,no cells,6,3,1000,IC85,500
Diclofenac,14703310,DICLO_OZ_3h_P25_A6_VC,4884,0.0006,-2.6547,-0.008345489,-0.002503647,-0.025036467,no cells,3,C,0,Control,0
Diclofenac,14703311,DICLO_OZ_3h_P25_B6_D1,88453,0.0106,17.0659,0.053649481,0.016094844,0.160948444,no cells,3,1,50,IC01,25
Diclofenac,14703312,DICLO_OZ_3h_P25_C6_D2,1259805,0.158,307.4714,0.966587237,0.289976171,2.89976171,no cells,3,2,320,IC50,160
Diclofenac,14703313,DICLO_OZ_3h_P25_D6_D3,1913213,0.2341,457.5107,1.43826061,0.431478183,4.31478183,no cells,3,3,1000,IC85,500
Diclofenac,14703314,DICLO_OZ_0h_P33_A6_VC,7333,0.0009,-2.1079,-0.006626533,-0.00198796,-0.019879598,no cells,0,C,0,Control,0
Diclofenac,14703315,DICLO_OZ_0h_P33_B6_D1,189311,0.0225,40.5065,0.127338887,0.038201666,0.382016661,no cells,0,1,50,IC01,25
Diclofenac,14703316,DICLO_OZ_0h_P33_C6_D2,940309,0.1121,216.9916,0.68214901,0.204644703,2.046447029,no cells,0,2,320,IC50,160
Diclofenac,14703317,DICLO_OZ_0h_P33_D6_D3,1269032,0.1498,291.2576,0.915616473,0.274684942,2.746849418,no cells,0,3,1000,IC85,500
Diclofenac,14703318,DICLO_OZ_6h_P17_A5_VC,7194,0.0009,-2.144,-0.006740019,-0.002022006,-0.020220057,no cells,6,C,0,Control,0
Diclofenac,14703319,DICLO_OZ_6h_P17_B5_D1,122062,0.0149,25.5196,0.080225086,0.024067526,0.240675259,no cells,6,1,50,IC01,25
Diclofenac,14703320,DICLO_OZ_6h_P17_C5_D2,864307,0.1097,212.3898,0.66768249,0.200304747,2.003047469,no cells,6,2,320,IC50,160
Diclofenac,14703321,DICLO_OZ_6h_P17_D5_D3,1828847,0.2145,418.9208,1.316946872,0.395084062,3.950840616,no cells,6,3,1000,IC85,500
Diclofenac,14703322,DICLO_OZ_3h_P25_A5_VC,8408,0.001,-1.8175,-0.005713612,-0.001714084,-0.017140836,no cells,3,C,0,Control,0
Diclofenac,14703323,DICLO_OZ_3h_P25_B5_D1,178281,0.0218,39.1405,0.12304464,0.036913392,0.36913392,no cells,3,1,50,IC01,25
Diclofenac,14703324,DICLO_OZ_3h_P25_C5_D2,1229225,0.1566,304.6386,0.957681861,0.287304558,2.873045583,no cells,3,2,320,IC50,160
