"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","data4modelReal"
"1","Compound",1,"Diclofenac",1,0,50,129.686402279948
"2","Compound",1,"Diclofenac",2,3,50,134.683059191047
"3","Compound",1,"Diclofenac",3,6,50,127.314395704589
"4","Compound",1,"Diclofenac",4,24,50,160.014848069048
"5","Compound",1,"Diclofenac",5,48,50,84.3198554208811
"6","Compound",1,"Diclofenac",1,0,320,884.606928199028
"7","Compound",1,"Diclofenac",2,3,320,1096.85862349975
"8","Compound",1,"Diclofenac",3,6,320,1173.90217718795
"9","Compound",1,"Diclofenac",4,24,320,1023.18267616408
"10","Compound",1,"Diclofenac",5,48,320,513.679995434037
"11","Compound",1,"Diclofenac",1,0,1000,1497.68392887457
"12","Compound",1,"Diclofenac",2,3,1000,3079.236017818
"13","Compound",1,"Diclofenac",3,6,1000,2534.73831420901
"14","Compound",1,"Diclofenac",4,24,1000,1714.92283591581
"15","Compound",1,"Diclofenac",5,48,1000,554.602291958586
"16","Compound",2,"Diclofenac",1,0,50,140.481009227715
"17","Compound",2,"Diclofenac",2,3,50,149.476570860949
"18","Compound",2,"Diclofenac",3,6,50,116.725796979441
"19","Compound",2,"Diclofenac",4,24,50,156.180580116103
"20","Compound",2,"Diclofenac",5,48,50,75.4894171144261
"21","Compound",2,"Diclofenac",1,0,320,876.655802553162
"22","Compound",2,"Diclofenac",2,3,320,1411.36457435247
"23","Compound",2,"Diclofenac",3,6,320,1203.31572488242
"24","Compound",2,"Diclofenac",4,24,320,1108.99316208496
"25","Compound",2,"Diclofenac",5,48,320,548.675477021773
"26","Compound",2,"Diclofenac",1,0,1000,1592.76069478364
"27","Compound",2,"Diclofenac",2,3,1000,2446.74704035171
"28","Compound",2,"Diclofenac",3,6,1000,2435.03184895208
"29","Compound",2,"Diclofenac",4,24,1000,1966.62597385745
"30","Compound",2,"Diclofenac",5,48,1000,492.736593090829
"31","Compound",3,"Diclofenac",1,0,50,156.806830218173
"32","Compound",3,"Diclofenac",2,3,50,155.26131779839
"33","Compound",3,"Diclofenac",3,6,50,156.066636845698
"34","Compound",3,"Diclofenac",4,24,50,153.574866543372
"35","Compound",3,"Diclofenac",5,48,50,71.1109682569192
"36","Compound",3,"Diclofenac",1,0,320,1226.20990661138
"37","Compound",3,"Diclofenac",2,3,320,1602.35191886757
"38","Compound",3,"Diclofenac",3,6,320,1315.04771091565
"39","Compound",3,"Diclofenac",4,24,320,1256.5460164564
"40","Compound",3,"Diclofenac",5,48,320,544.886129733029
"41","Compound",3,"Diclofenac",1,0,1000,1497.88676014709
"42","Compound",3,"Diclofenac",2,3,1000,2435.20584250914
"43","Compound",3,"Diclofenac",3,6,1000,2547.44309390494
"44","Compound",3,"Diclofenac",4,24,1000,1511.46071835939
"45","Compound",3,"Diclofenac",5,48,1000,668.215125781573
"46","Compound",4,"Diclofenac",1,0,50,111.789119363304
"47","Compound",4,"Diclofenac",2,3,50,185.732808383971
"48","Compound",4,"Diclofenac",3,6,50,134.545413437723
"49","Compound",4,"Diclofenac",4,24,50,144.139779939749
"50","Compound",4,"Diclofenac",5,48,50,138.070842020013
"51","Compound",4,"Diclofenac",1,0,320,849.921907078715
"52","Compound",4,"Diclofenac",2,3,320,1468.21822281912
"53","Compound",4,"Diclofenac",3,6,320,1382.67476314967
"54","Compound",4,"Diclofenac",4,24,320,1064.04577537991
"55","Compound",4,"Diclofenac",5,48,320,502.761224434534
"56","Compound",4,"Diclofenac",1,0,1000,1324.40461370963
"57","Compound",4,"Diclofenac",2,3,1000,2376.96618271309
"58","Compound",4,"Diclofenac",3,6,1000,2294.48826905661
"59","Compound",4,"Diclofenac",4,24,1000,2060.0233656246
"60","Compound",4,"Diclofenac",5,48,1000,707.044493326108
"61","Compound",5,"Diclofenac",1,0,50,102.538895231266
"62","Compound",5,"Diclofenac",2,3,50,147.035080457308
"63","Compound",5,"Diclofenac",3,6,50,127.881177553929
"64","Compound",5,"Diclofenac",4,24,50,147.91791806714
"65","Compound",5,"Diclofenac",5,48,50,76.6549319104718
"66","Compound",5,"Diclofenac",1,0,320,968.210624415432
"67","Compound",5,"Diclofenac",2,3,320,1242.05792163372
"68","Compound",5,"Diclofenac",3,6,320,1189.03822020141
"69","Compound",5,"Diclofenac",4,24,320,1105.13808359617
"70","Compound",5,"Diclofenac",5,48,320,346.148442905912
"71","Compound",5,"Diclofenac",1,0,1000,1640.72767017513
"72","Compound",5,"Diclofenac",2,3,1000,2368.67976996705
"73","Compound",5,"Diclofenac",3,6,1000,2547.57865258901
"74","Compound",5,"Diclofenac",4,24,1000,2565.62500648649
"75","Compound",5,"Diclofenac",5,48,1000,721.786986661938
"76","Compound",6,"Diclofenac",1,0,50,119.111660238696
"77","Compound",6,"Diclofenac",2,3,50,174.096713804217
"78","Compound",6,"Diclofenac",3,6,50,164.676689408127
"79","Compound",6,"Diclofenac",4,24,50,163.962401544587
"80","Compound",6,"Diclofenac",5,48,50,74.6470018710944
"81","Compound",6,"Diclofenac",1,0,320,1016.8552763841
"82","Compound",6,"Diclofenac",2,3,320,1416.97398474035
"83","Compound",6,"Diclofenac",3,6,320,1190.8786430563
"84","Compound",6,"Diclofenac",4,24,320,1239.82035431269
"85","Compound",6,"Diclofenac",5,48,320,525.297919943721
"86","Compound",6,"Diclofenac",1,0,1000,1415.2764305246
"87","Compound",6,"Diclofenac",2,3,1000,2347.04467308741
"88","Compound",6,"Diclofenac",3,6,1000,2375.06129774425
"89","Compound",6,"Diclofenac",4,24,1000,1684.48903932595
"90","Compound",6,"Diclofenac",5,48,1000,494.754104122753
