"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","data4modelReal"
"1","Compound",1,"Ketoconazole",1,0,0.3,11.4642539704587
"2","Compound",1,"Ketoconazole",2,3,0.3,14.3884833270894
"3","Compound",1,"Ketoconazole",3,6,0.3,15.7025322727938
"4","Compound",1,"Ketoconazole",4,24,0.3,20.0769984861114
"5","Compound",1,"Ketoconazole",5,48,0.3,17.8697018864317
"6","Compound",1,"Ketoconazole",1,0,21,776.202475023467
"7","Compound",1,"Ketoconazole",2,3,21,827.014739841533
"8","Compound",1,"Ketoconazole",3,6,21,846.536643451002
"9","Compound",1,"Ketoconazole",4,24,21,847.509605767267
"10","Compound",1,"Ketoconazole",5,48,21,785.121079614347
"11","Compound",1,"Ketoconazole",1,0,83,2326.85017680513
"12","Compound",1,"Ketoconazole",2,3,83,2726.43182344623
"13","Compound",1,"Ketoconazole",3,6,83,2556.18342520151
"14","Compound",1,"Ketoconazole",4,24,83,2138.44087064651
"15","Compound",1,"Ketoconazole",5,48,83,1347.69641133152
"16","Compound",2,"Ketoconazole",1,0,0.3,10.6510525699995
"17","Compound",2,"Ketoconazole",2,3,0.3,15.8062262943701
"18","Compound",2,"Ketoconazole",3,6,0.3,17.0810800311486
"19","Compound",2,"Ketoconazole",4,24,0.3,21.7725928138951
"20","Compound",2,"Ketoconazole",5,48,0.3,20.5631216260377
"21","Compound",2,"Ketoconazole",1,0,21,808.793530709859
"22","Compound",2,"Ketoconazole",2,3,21,843.426052980586
"23","Compound",2,"Ketoconazole",3,6,21,834.50442899324
"24","Compound",2,"Ketoconazole",4,24,21,918.736897276589
"25","Compound",2,"Ketoconazole",5,48,21,765.600727272381
"26","Compound",2,"Ketoconazole",1,0,83,2468.99923544389
"27","Compound",2,"Ketoconazole",2,3,83,2589.64476439029
"28","Compound",2,"Ketoconazole",3,6,83,2542.83066468893
"29","Compound",2,"Ketoconazole",4,24,83,2211.76452406121
"30","Compound",2,"Ketoconazole",5,48,83,1459.5006425811
"31","Compound",3,"Ketoconazole",1,0,0.3,10.7159485491008
"32","Compound",3,"Ketoconazole",2,3,0.3,15.4899444737781
"33","Compound",3,"Ketoconazole",3,6,0.3,15.0826917737782
"34","Compound",3,"Ketoconazole",4,24,0.3,21.5922321191729
"35","Compound",3,"Ketoconazole",5,48,0.3,20.4441513126781
"36","Compound",3,"Ketoconazole",1,0,21,754.51099400886
"37","Compound",3,"Ketoconazole",2,3,21,879.283571075107
"38","Compound",3,"Ketoconazole",3,6,21,830.523019650357
"39","Compound",3,"Ketoconazole",4,24,21,938.255389001247
"40","Compound",3,"Ketoconazole",5,48,21,802.326371890618
"41","Compound",3,"Ketoconazole",1,0,83,2559.92872117449
"42","Compound",3,"Ketoconazole",2,3,83,2556.42412277737
"43","Compound",3,"Ketoconazole",3,6,83,2475.66740936
"44","Compound",3,"Ketoconazole",4,24,83,1963.87046751579
"45","Compound",3,"Ketoconazole",5,48,83,1408.25771312887
"46","Compound",4,"Ketoconazole",1,0,0.3,13.3690984479432
"47","Compound",4,"Ketoconazole",2,3,0.3,19.1448561764518
"48","Compound",4,"Ketoconazole",3,6,0.3,17.8898243012927
"49","Compound",4,"Ketoconazole",4,24,0.3,17.6268443027244
"50","Compound",4,"Ketoconazole",5,48,0.3,17.7421119884479
"51","Compound",4,"Ketoconazole",1,0,21,718.735505270042
"52","Compound",4,"Ketoconazole",2,3,21,851.72384641664
"53","Compound",4,"Ketoconazole",3,6,21,818.132768828766
"54","Compound",4,"Ketoconazole",4,24,21,841.925455241012
"55","Compound",4,"Ketoconazole",5,48,21,789.995855630244
"56","Compound",4,"Ketoconazole",1,0,83,2109.37300507392
"57","Compound",4,"Ketoconazole",2,3,83,2500.7341317186
"58","Compound",4,"Ketoconazole",3,6,83,2309.0321694895
"59","Compound",4,"Ketoconazole",4,24,83,1931.01537235275
"60","Compound",4,"Ketoconazole",5,48,83,1334.2037545628
"61","Compound",5,"Ketoconazole",1,0,0.3,14.9703224517753
"62","Compound",5,"Ketoconazole",2,3,0.3,19.2602388110335
"63","Compound",5,"Ketoconazole",3,6,0.3,17.7131955271968
"64","Compound",5,"Ketoconazole",4,24,0.3,19.5208353947025
"65","Compound",5,"Ketoconazole",5,48,0.3,21.0086338778349
"66","Compound",5,"Ketoconazole",1,0,21,763.00014659974
"67","Compound",5,"Ketoconazole",2,3,21,881.22247719341
"68","Compound",5,"Ketoconazole",3,6,21,964.205702028747
"69","Compound",5,"Ketoconazole",4,24,21,790.762017285813
"70","Compound",5,"Ketoconazole",5,48,21,754.91484780385
"71","Compound",5,"Ketoconazole",1,0,83,2093.71906247866
"72","Compound",5,"Ketoconazole",2,3,83,2606.83836980074
"73","Compound",5,"Ketoconazole",3,6,83,2523.9761755445
"74","Compound",5,"Ketoconazole",4,24,83,1945.01900466551
"75","Compound",5,"Ketoconazole",5,48,83,1304.91220099975
"76","Compound",6,"Ketoconazole",1,0,0.3,13.5434537164702
"77","Compound",6,"Ketoconazole",2,3,0.3,17.5732033273218
"78","Compound",6,"Ketoconazole",3,6,0.3,19.8639436714001
"79","Compound",6,"Ketoconazole",4,24,0.3,20.8460279567714
"80","Compound",6,"Ketoconazole",5,48,0.3,20.3986479240806
"81","Compound",6,"Ketoconazole",1,0,21,740.100083324987
"82","Compound",6,"Ketoconazole",2,3,21,801.470478027853
"83","Compound",6,"Ketoconazole",3,6,21,814.269143236036
"84","Compound",6,"Ketoconazole",4,24,21,946.799696692293
"85","Compound",6,"Ketoconazole",5,48,21,804.043473329941
"86","Compound",6,"Ketoconazole",1,0,83,2015.01077489034
"87","Compound",6,"Ketoconazole",2,3,83,2586.59703015812
"88","Compound",6,"Ketoconazole",3,6,83,2312.02698765867
"89","Compound",6,"Ketoconazole",4,24,83,1983.41830606535
"90","Compound",6,"Ketoconazole",5,48,83,1497.48103812853
