"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","data4modelReal"
"1","Compound",1,"Nitrofurantoin",1,0,7.5,8.27707517785263
"2","Compound",1,"Nitrofurantoin",2,3,7.5,5.41085660862943
"3","Compound",1,"Nitrofurantoin",3,6,7.5,5.28386017376659
"4","Compound",1,"Nitrofurantoin",4,24,7.5,5.02521102417033
"5","Compound",1,"Nitrofurantoin",5,48,7.5,4.09869832993285
"6","Compound",1,"Nitrofurantoin",1,0,30,18.7387345133244
"7","Compound",1,"Nitrofurantoin",2,3,30,35.9906150679785
"8","Compound",1,"Nitrofurantoin",3,6,30,32.3604186606045
"9","Compound",1,"Nitrofurantoin",4,24,30,23.3774033920325
"10","Compound",1,"Nitrofurantoin",5,48,30,15.0853517940056
"11","Compound",1,"Nitrofurantoin",1,0,120,51.6507231184673
"12","Compound",1,"Nitrofurantoin",2,3,120,69.1466363527337
"13","Compound",1,"Nitrofurantoin",3,6,120,61.3021724938274
"14","Compound",1,"Nitrofurantoin",4,24,120,45.2323681044365
"15","Compound",1,"Nitrofurantoin",5,48,120,28.166509063429
"16","Compound",2,"Nitrofurantoin",1,0,7.5,5.55385667878251
"17","Compound",2,"Nitrofurantoin",2,3,7.5,6.55018159322238
"18","Compound",2,"Nitrofurantoin",3,6,7.5,4.72650784880703
"19","Compound",2,"Nitrofurantoin",4,24,7.5,5.54107621063191
"20","Compound",2,"Nitrofurantoin",5,48,7.5,4.17067026389121
"21","Compound",2,"Nitrofurantoin",1,0,30,21.0377460698046
"22","Compound",2,"Nitrofurantoin",2,3,30,30.8144003333967
"23","Compound",2,"Nitrofurantoin",3,6,30,33.740588488126
"24","Compound",2,"Nitrofurantoin",4,24,30,29.6321196264183
"25","Compound",2,"Nitrofurantoin",5,48,30,19.8243937181757
"26","Compound",2,"Nitrofurantoin",1,0,120,56.5786849645532
"27","Compound",2,"Nitrofurantoin",2,3,120,97.1193961501401
"28","Compound",2,"Nitrofurantoin",3,6,120,57.8974748356427
"29","Compound",2,"Nitrofurantoin",4,24,120,62.8643577842607
"30","Compound",2,"Nitrofurantoin",5,48,120,30.6497990574829
"31","Compound",3,"Nitrofurantoin",1,0,7.5,24.0387773979888
"32","Compound",3,"Nitrofurantoin",2,3,7.5,3.25634943286937
"33","Compound",3,"Nitrofurantoin",3,6,7.5,5.08218136759208
"34","Compound",3,"Nitrofurantoin",4,24,7.5,3.59315812991054
"35","Compound",3,"Nitrofurantoin",5,48,7.5,3.75399064623751
"36","Compound",3,"Nitrofurantoin",1,0,30,41.7067709659301
"37","Compound",3,"Nitrofurantoin",2,3,30,26.9092998532404
"38","Compound",3,"Nitrofurantoin",3,6,30,36.331098041278
"39","Compound",3,"Nitrofurantoin",4,24,30,25.3484896663633
"40","Compound",3,"Nitrofurantoin",5,48,30,23.9340255835304
"41","Compound",3,"Nitrofurantoin",1,0,120,74.8136317352408
"42","Compound",3,"Nitrofurantoin",2,3,120,72.8449821080902
"43","Compound",3,"Nitrofurantoin",3,6,120,59.452812536723
"44","Compound",3,"Nitrofurantoin",4,24,120,57.3200002414866
"45","Compound",3,"Nitrofurantoin",5,48,120,54.7622048409676
"46","Compound",4,"Nitrofurantoin",1,0,7.5,3.32722621185034
"47","Compound",4,"Nitrofurantoin",2,3,7.5,5.37397360478552
"48","Compound",4,"Nitrofurantoin",3,6,7.5,5.73516876826297
"49","Compound",4,"Nitrofurantoin",4,24,7.5,6.24676148979882
"50","Compound",4,"Nitrofurantoin",5,48,7.5,5.01547957960108
"51","Compound",4,"Nitrofurantoin",1,0,30,15.7780215639335
"52","Compound",4,"Nitrofurantoin",2,3,30,29.0356200179327
"53","Compound",4,"Nitrofurantoin",3,6,30,35.7581772156213
"54","Compound",4,"Nitrofurantoin",4,24,30,29.9341016177991
"55","Compound",4,"Nitrofurantoin",5,48,30,27.4009033114053
"56","Compound",4,"Nitrofurantoin",1,0,120,126.57561437995
"57","Compound",4,"Nitrofurantoin",2,3,120,86.6368266511533
"58","Compound",4,"Nitrofurantoin",3,6,120,66.932543011683
"59","Compound",4,"Nitrofurantoin",4,24,120,87.1221525334503
"60","Compound",4,"Nitrofurantoin",5,48,120,25.1098541409507
"61","Compound",5,"Nitrofurantoin",1,0,7.5,7.39784653173788
"62","Compound",5,"Nitrofurantoin",2,3,7.5,7.36535595053674
"63","Compound",5,"Nitrofurantoin",3,6,7.5,6.46181741794686
"64","Compound",5,"Nitrofurantoin",4,24,7.5,8.01887971514932
"65","Compound",5,"Nitrofurantoin",5,48,7.5,4.74128028575252
"66","Compound",5,"Nitrofurantoin",1,0,30,18.7579337413212
"67","Compound",5,"Nitrofurantoin",2,3,30,30.0888846602232
"68","Compound",5,"Nitrofurantoin",3,6,30,35.5548970779465
"69","Compound",5,"Nitrofurantoin",4,24,30,31.3795781435493
"70","Compound",5,"Nitrofurantoin",5,48,30,28.4050667536187
"71","Compound",5,"Nitrofurantoin",1,0,120,53.898664728476
"72","Compound",5,"Nitrofurantoin",2,3,120,82.4449083402921
"73","Compound",5,"Nitrofurantoin",3,6,120,62.5239884285432
"74","Compound",5,"Nitrofurantoin",4,24,120,54.4739914969023
"75","Compound",5,"Nitrofurantoin",5,48,120,250.895883595467
"76","Compound",6,"Nitrofurantoin",1,0,7.5,3.22201444242772
"77","Compound",6,"Nitrofurantoin",2,3,7.5,4.87470367470333
"78","Compound",6,"Nitrofurantoin",3,6,7.5,5.93222150565888
