treatment,dose_uM,measurement,plate,tech_rep,glutathione,GSSG,GSH
NIT,0,cells,1,1,6.381839156,0.502832957,5.879006199
NIT,0,cells,1,2,5.963606598,0.438396719,5.52520988
NIT,0,cells,1,3,6.158637408,0.505709582,5.652927827
NIT,0,cells,1,4,5.872592005,0.461409673,5.411182332
NIT,7.8125,cells,1,1,6.123024661,0.44696144,5.676063221
NIT,7.8125,cells,1,2,5.780085626,0.429303693,5.350781933
NIT,7.8125,cells,1,3,5.931810208,0.428200107,5.503610101
NIT,7.8125,cells,1,4,5.850752012,0.434269933,5.416482079
NIT,15.625,cells,1,1,6.741562775,0.488352348,6.253210427
NIT,15.625,cells,1,2,6.396530329,0.460395527,5.936134802
NIT,15.625,cells,1,3,6.358442929,0.4615852,5.896857729
NIT,15.625,cells,1,4,6.201610151,0.488947184,5.712662967
NIT,31.25,cells,1,1,8.164723893,0.559085196,7.605638697
NIT,31.25,cells,1,2,8.736963948,0.478868625,8.258095324
NIT,31.25,cells,1,3,8.649984003,0.503784392,8.146199611
NIT,31.25,cells,1,4,9.69375034,0.49102263,9.202727709
NIT,62.5,cells,1,1,13.60580018,0.57471996,13.03108022
NIT,62.5,cells,1,2,13.35126504,0.56360085,12.78766419
NIT,62.5,cells,1,3,12.98652024,0.560126115,12.42639413
NIT,62.5,cells,1,4,13.18332507,0.564990713,12.61833436
NIT,125,cells,1,1,13.72194088,0.503428139,13.21851274
NIT,125,cells,1,2,13.50286452,0.497377308,13.00548721
NIT,125,cells,1,3,13.10807089,0.637151248,12.47091964
NIT,125,cells,1,4,13.6032747,0.502217955,13.10105674
NIT,0,cells,2,1,5.798114721,0.38820875,5.409905971
NIT,0,cells,2,2,6.228754129,0.390776274,5.837977856
NIT,0,cells,2,3,6.091026922,0.486801475,5.604225447
NIT,0,cells,2,4,6.180258737,0.409775924,5.770482813
NIT,7.8125,cells,2,1,7.284950658,0.468382915,6.816567743
NIT,7.8125,cells,2,2,7.354886326,0.460977619,6.893908707
NIT,7.8125,cells,2,3,7.280288211,0.678815786,6.601472425
NIT,7.8125,cells,2,4,8.02859833,0.472702633,7.555895697
NIT,15.625,cells,2,1,6.546397568,0.41014863,6.136248938
