"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","data4modelReal"
"1","GSH",1,"DIC",1,0,4,4,0.97350367027314
"2","GSH",1,"DIC",2,3,4,4,0.935655674859987
"3","GSH",1,"DIC",3,6,4,4,1.0306556258049
"4","GSH",1,"DIC",4,12,4,4,1.03221099916998
"5","GSH",1,"DIC",5,24,4,4,0.982753879266364
"6","GSH",1,"DIC",6,36,4,4,1.06783816438019
"7","GSH",1,"DIC",7,48,4,4,1.00299225939249
"8","GSH",1,"DIC",8,60,4,4,0.959176279973119
"9","GSH",1,"DIC",1,0,8,8,1.03899278690741
"10","GSH",1,"DIC",2,3,8,8,0.910324733808808
"11","GSH",1,"DIC",3,6,8,8,0.984204475029959
"12","GSH",1,"DIC",4,12,8,8,1.04751824485256
"13","GSH",1,"DIC",5,24,8,8,0.978148144177972
"14","GSH",1,"DIC",6,36,8,8,1.00151103378713
"15","GSH",1,"DIC",7,48,8,8,0.978770228432658
"16","GSH",1,"DIC",8,60,8,8,0.985323316102302
"17","GSH",1,"DIC",1,0,16,16,0.98883555786189
"18","GSH",1,"DIC",2,3,16,16,0.906383121352106
"19","GSH",1,"DIC",3,6,16,16,0.97114326737257
"20","GSH",1,"DIC",4,12,16,16,1.04748406173331
"21","GSH",1,"DIC",5,24,16,16,0.975363882432466
"22","GSH",1,"DIC",6,36,16,16,1.01610495047271
"23","GSH",1,"DIC",7,48,16,16,0.969384912313089
"24","GSH",1,"DIC",8,60,16,16,0.851202101985347
"25","GSH",1,"DIC",1,0,32,32,0.977122281202333
"26","GSH",1,"DIC",2,3,32,32,0.916115696313321
"27","GSH",1,"DIC",3,6,32,32,1.02533693538557
"28","GSH",1,"DIC",4,12,32,32,1.07676577004483
"29","GSH",1,"DIC",5,24,32,32,0.994552047303236
"30","GSH",1,"DIC",6,36,32,32,1.01629837491615
"31","GSH",1,"DIC",7,48,32,32,0.961472873781752
"32","GSH",1,"DIC",8,60,32,32,1.05493787179938
"33","GSH",1,"DIC",1,0,64,64,0.977990047118785
"34","GSH",1,"DIC",2,3,64,64,0.933424189840438
"35","GSH",1,"DIC",3,6,64,64,1.08468437740127
"36","GSH",1,"DIC",4,12,64,64,1.09511786348277
"37","GSH",1,"DIC",5,24,64,64,1.00860307272956
"38","GSH",1,"DIC",6,36,64,64,1.03293662173754
"39","GSH",1,"DIC",7,48,64,64,0.995073114384621
"40","GSH",1,"DIC",8,60,64,64,1.17957125670631
"41","GSH",1,"DIC",1,0,125,125,0.963989966620363
"42","GSH",1,"DIC",2,3,125,125,0.979845964249122
"43","GSH",1,"DIC",3,6,125,125,1.1263202329006
"44","GSH",1,"DIC",4,12,125,125,1.27534893984231
"45","GSH",1,"DIC",5,24,125,125,1.03594117149534
"46","GSH",1,"DIC",6,36,125,125,1.12404154027054
"47","GSH",1,"DIC",7,48,125,125,1.12935905628116
"48","GSH",1,"DIC",8,60,125,125,1.18048861124679
"49","GSH",1,"DIC",1,0,250,250,0.950519503804407
"50","GSH",1,"DIC",2,3,250,250,0.993640979553443
"51","GSH",1,"DIC",3,6,250,250,1.16797312139132
"52","GSH",1,"DIC",4,12,250,250,1.48778185038826
"53","GSH",1,"DIC",5,24,250,250,1.28070474576947
"54","GSH",1,"DIC",6,36,250,250,1.2950311352482
"55","GSH",1,"DIC",7,48,250,250,1.39361359969456
"56","GSH",1,"DIC",8,60,250,250,1.48057703266136
"57","GSH",1,"DIC",1,0,500,500,0.996179675361469
"58","GSH",1,"DIC",2,3,500,500,0.994236339130829
"59","GSH",1,"DIC",3,6,500,500,1.09105505604037
"60","GSH",1,"DIC",4,12,500,500,1.44692633460179
"61","GSH",1,"DIC",5,24,500,500,1.89068544526376
"62","GSH",1,"DIC",6,36,500,500,2.18895186792399
"63","GSH",1,"DIC",7,48,500,500,2.23895598278912
"64","GSH",1,"DIC",8,60,500,500,2.29067702683323
"65","GSH",1,"DIC",1,0,1000,1000,0.997030178077617
"66","GSH",1,"DIC",2,3,1000,1000,0.887557020637128
"67","GSH",1,"DIC",3,6,1000,1000,0.897303250194469
"68","GSH",1,"DIC",4,12,1000,1000,0.625317342881313
"69","GSH",1,"DIC",5,24,1000,1000,0.824936967901279
"70","GSH",1,"DIC",6,36,1000,1000,1.62513136048576
"71","GSH",1,"DIC",7,48,1000,1000,1.72290244175336
"72","GSH",1,"DIC",8,60,1000,1000,1.38078428597153
"73","GSH",2,"DIC",1,0,4,4,1.03806989920718
"74","GSH",2,"DIC",2,3,4,4,1.00602332562241
"75","GSH",2,"DIC",3,6,4,4,1.01192374219085
"76","GSH",2,"DIC",4,12,4,4,1.07153606961971
"77","GSH",2,"DIC",5,24,4,4,1.04503819228014
"78","GSH",2,"DIC",6,36,4,4,1.05082751545214
"79","GSH",2,"DIC",7,48,4,4,1.04681634728197
"80","GSH",2,"DIC",8,60,4,4,1.06247935478922
"81","GSH",2,"DIC",1,0,8,8,1.04240313378611
