"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","data4modelReal"
"1","GSH",1,"KET",1,0,0.375,0.375,0.896854072902342
"2","GSH",1,"KET",2,3,0.375,0.375,0.964683559980159
"3","GSH",1,"KET",3,6,0.375,0.375,0.985426157324828
"4","GSH",1,"KET",4,12,0.375,0.375,1.01753489317776
"5","GSH",1,"KET",5,24,0.375,0.375,0.96746023041225
"6","GSH",1,"KET",6,36,0.375,0.375,0.959854515941751
"7","GSH",1,"KET",7,48,0.375,0.375,1.05089492226399
"8","GSH",1,"KET",8,60,0.375,0.375,0.990033685768769
"9","GSH",1,"KET",1,0,0.75,0.75,1.01135713345533
"10","GSH",1,"KET",2,3,0.75,0.75,0.982912384085496
"11","GSH",1,"KET",3,6,0.75,0.75,0.977753720041105
"12","GSH",1,"KET",4,12,0.75,0.75,1.02602133818572
"13","GSH",1,"KET",5,24,0.75,0.75,0.952791813249908
"14","GSH",1,"KET",6,36,0.75,0.75,1.00669379402304
"15","GSH",1,"KET",7,48,0.75,0.75,1.03395397168414
"16","GSH",1,"KET",8,60,0.75,0.75,1.0225156701071
"17","GSH",1,"KET",1,0,1.5,1.5,0.983964517407851
"18","GSH",1,"KET",2,3,1.5,1.5,1.03048272777397
"19","GSH",1,"KET",3,6,1.5,1.5,1.0330746713152
"20","GSH",1,"KET",4,12,1.5,1.5,1.19849573274243
"21","GSH",1,"KET",5,24,1.5,1.5,0.979256215656945
"22","GSH",1,"KET",6,36,1.5,1.5,1.0230899753289
"23","GSH",1,"KET",7,48,1.5,1.5,1.00624802132126
"24","GSH",1,"KET",8,60,1.5,1.5,0.779859972248544
"25","GSH",1,"KET",1,0,3,3,0.987036963416571
"26","GSH",1,"KET",2,3,3,3,0.975747899715844
"27","GSH",1,"KET",3,6,3,3,1.03655475574295
"28","GSH",1,"KET",4,12,3,3,1.12845855424925
"29","GSH",1,"KET",5,24,3,3,0.948806937695356
"30","GSH",1,"KET",6,36,3,3,1.1326134175225
"31","GSH",1,"KET",7,48,3,3,1.10193163666478
"32","GSH",1,"KET",8,60,3,3,1.00115135169255
"33","GSH",1,"KET",1,0,6,6,1.0594119633021
"34","GSH",1,"KET",2,3,6,6,0.963581740923926
"35","GSH",1,"KET",3,6,6,6,1.02557646717475
"36","GSH",1,"KET",4,12,6,6,1.23428062386878
"37","GSH",1,"KET",5,24,6,6,0.997705888736337
"38","GSH",1,"KET",6,36,6,6,1.11690239542299
"39","GSH",1,"KET",7,48,6,6,1.21139448640596
"40","GSH",1,"KET",8,60,6,6,1.06991197024142
"41","GSH",1,"KET",1,0,12.5,12.5,1.00206391410572
"42","GSH",1,"KET",2,3,12.5,12.5,1.01600758603284
"43","GSH",1,"KET",3,6,12.5,12.5,1.11465589484724
"44","GSH",1,"KET",4,12,12.5,12.5,1.32643162673102
"45","GSH",1,"KET",5,24,12.5,12.5,1.05638131466236
"46","GSH",1,"KET",6,36,12.5,12.5,1.1347341542278
"47","GSH",1,"KET",7,48,12.5,12.5,1.20506973247353
"48","GSH",1,"KET",8,60,12.5,12.5,1.26582624185233
"49","GSH",1,"KET",1,0,25,25,0.921641227994763
"50","GSH",1,"KET",2,3,25,25,1.09381091304933
"51","GSH",1,"KET",3,6,25,25,1.12473742246477
"52","GSH",1,"KET",4,12,25,25,1.49808299005294
"53","GSH",1,"KET",5,24,25,25,1.22028968212851
"54","GSH",1,"KET",6,36,25,25,1.29429138385901
"55","GSH",1,"KET",7,48,25,25,1.22301788897701
"56","GSH",1,"KET",8,60,25,25,1.24509522356327
"57","GSH",1,"KET",1,0,50,50,0.979764206999099
"58","GSH",1,"KET",2,3,50,50,1.0732147725318
"59","GSH",1,"KET",3,6,50,50,1.12632192010682
"60","GSH",1,"KET",4,12,50,50,1.39913012912097
"61","GSH",1,"KET",5,24,50,50,1.30347791375537
"62","GSH",1,"KET",6,36,50,50,1.59346035554818
"63","GSH",1,"KET",7,48,50,50,1.35726125384917
"64","GSH",1,"KET",8,60,50,50,1.3780556693305
"65","GSH",1,"KET",1,0,100,100,0.913149379868271
"66","GSH",1,"KET",2,3,100,100,1.07749084897917
"67","GSH",1,"KET",3,6,100,100,1.18466234827727
"68","GSH",1,"KET",4,12,100,100,1.55534634934172
"69","GSH",1,"KET",5,24,100,100,1.40354062633215
"70","GSH",1,"KET",6,36,100,100,1.51218551635122
"71","GSH",1,"KET",7,48,100,100,1.42315025934413
"72","GSH",1,"KET",8,60,100,100,1.69533984504719
"73","GSH",2,"KET",1,0,0.375,0.375,0.977101455643593
"74","GSH",2,"KET",2,3,0.375,0.375,0.995904553458923
"75","GSH",2,"KET",3,6,0.375,0.375,1.03112660952017
"76","GSH",2,"KET",4,12,0.375,0.375,0.993820493808531
"77","GSH",2,"KET",5,24,0.375,0.375,1.01174449297213
"78","GSH",2,"KET",6,36,0.375,0.375,1.05754158256859
"79","GSH",2,"KET",7,48,0.375,0.375,1.06541648270138
"80","GSH",2,"KET",8,60,0.375,0.375,1.0442735276895
"81","GSH",2,"KET",1,0,0.75,0.75,1.0306945780111
"82","GSH",2,"KET",2,3,0.75,0.75,0.990129608260915
"83","GSH",2,"KET",3,6,0.75,0.75,1.05503130371656
"84","GSH",2,"KET",4,12,0.75,0.75,1.02450494501293
"85","GSH",2,"KET",5,24,0.75,0.75,1.08192766038763
"86","GSH",2,"KET",6,36,0.75,0.75,0.990012668044519
"87","GSH",2,"KET",7,48,0.75,0.75,1.04415177919399
"88","GSH",2,"KET",8,60,0.75,0.75,1.14170922777759
"89","GSH",2,"KET",1,0,1.5,1.5,1.024396166872
"90","GSH",2,"KET",2,3,1.5,1.5,0.984546259842553
"91","GSH",2,"KET",3,6,1.5,1.5,1.03249306241322
"92","GSH",2,"KET",4,12,1.5,1.5,1.04394968970733
"93","GSH",2,"KET",5,24,1.5,1.5,1.03762075193854
"94","GSH",2,"KET",6,36,1.5,1.5,1.04963092432335
"95","GSH",2,"KET",7,48,1.5,1.5,1.09974961810049
"96","GSH",2,"KET",8,60,1.5,1.5,1.11321931914855
"97","GSH",2,"KET",1,0,3,3,1.0224019406317
"98","GSH",2,"KET",2,3,3,3,0.998287927529317
"99","GSH",2,"KET",3,6,3,3,1.08035378377284
"100","GSH",2,"KET",4,12,3,3,1.07199121832272
"101","GSH",2,"KET",5,24,3,3,1.05607905109971
"102","GSH",2,"KET",6,36,3,3,0.971347963102888
"103","GSH",2,"KET",7,48,3,3,0.999557892901909
"104","GSH",2,"KET",8,60,3,3,1.09525569828866
"105","GSH",2,"KET",1,0,6,6,0.998296314953957
"106","GSH",2,"KET",2,3,6,6,0.995596843088403
"107","GSH",2,"KET",3,6,6,6,1.04609726602903
"108","GSH",2,"KET",4,12,6,6,1.08863588303217
"109","GSH",2,"KET",5,24,6,6,1.03012249317307
"110","GSH",2,"KET",6,36,6,6,1.0187124675852
"111","GSH",2,"KET",7,48,6,6,1.04620985050817
"112","GSH",2,"KET",8,60,6,6,1.11503450031206
"113","GSH",2,"KET",1,0,12.5,12.5,1.01014274710952
"114","GSH",2,"KET",2,3,12.5,12.5,0.997109913778069
"115","GSH",2,"KET",3,6,12.5,12.5,1.03895632532866
"116","GSH",2,"KET",4,12,12.5,12.5,1.04124881111837
"117","GSH",2,"KET",5,24,12.5,12.5,1.19609767298619
"118","GSH",2,"KET",6,36,12.5,12.5,1.2243262557782
"119","GSH",2,"KET",7,48,12.5,12.5,1.20580983204037
"120","GSH",2,"KET",8,60,12.5,12.5,1.28766634050935
"121","GSH",2,"KET",1,0,25,25,0.988634526339929
"122","GSH",2,"KET",2,3,25,25,0.996956355602603
