treatment,dose_uM,measurement,replicate,mean,sd
NIT,0,supernatant,V8,1.165653199,0.125185568
NIT,0.48828125,supernatant,V8,1.364270299,0.249014715
NIT,0.9765625,supernatant,V8,1.535123501,0.130326476
NIT,1.953125,supernatant,V8,1.786064525,0.311086395
NIT,3.90625,supernatant,V8,1.742283254,0.195740445
NIT,7.8125,supernatant,V8,1.869889349,0.191540478
NIT,15.625,supernatant,V8,1.79674296,0.460456093
NIT,31.25,supernatant,V8,1.747622622,0.265185295
NIT,62.5,supernatant,V8,1.83465073,0.360022401
NIT,125,supernatant,V8,2.099366575,0.26799901
NIT,0,supernatant,V9,0.793351543,0.369911954
NIT,0.48828125,supernatant,V9,1.075349443,0.668037872
NIT,0.9765625,supernatant,V9,1.498563012,0.29224685
NIT,1.953125,supernatant,V9,1.012011926,0.571064932
NIT,3.90625,supernatant,V9,1.483448006,0.26303909
NIT,7.8125,supernatant,V9,1.356052459,0.690283626
NIT,15.625,supernatant,V9,1.374621572,0.727217403
NIT,31.25,supernatant,V9,1.129331017,0.756075641
NIT,62.5,supernatant,V9,2.208092024,0.315403957
NIT,125,supernatant,V9,1.734640932,0.399524796
NIT,0,supernatant,V10,1.805991731,0.214237124
NIT,0.48828125,supernatant,V10,1.883440851,0.175810389
NIT,0.9765625,supernatant,V10,1.880837474,0.153734961
NIT,1.953125,supernatant,V10,1.889949198,0.159741096
NIT,3.90625,supernatant,V10,1.879535882,0.123916341
NIT,7.8125,supernatant,V10,1.942015679,0.131556462
NIT,15.625,supernatant,V10,2.048752601,0.107788086
NIT,31.25,supernatant,V10,2.029878211,0.111539891
NIT,62.5,supernatant,V10,2.031179706,0.150795701
NIT,125,supernatant,V10,1.992780956,0.152413609
NIT,0,supernatant,V11,1.957291973,0.237835679
NIT,0.48828125,supernatant,V11,2.091659745,0.2754696
NIT,0.9765625,supernatant,V11,2.188015927,0.257449013
NIT,1.953125,supernatant,V11,2.168567993,0.283387743
NIT,3.90625,supernatant,V11,2.269343855,0.226541658
NIT,7.8125,supernatant,V11,2.409016243,0.271338092
NIT,15.625,supernatant,V11,2.411668025,0.305418529
NIT,31.25,supernatant,V11,2.34183216,0.283930013
NIT,62.5,supernatant,V11,2.378959998,0.330435507
NIT,125,supernatant,V11,2.138512011,0.147320252
NIT,0,cells,V8,10.36697802,0.561558659
NIT,0.48828125,cells,V8,10.56293328,1.782782158
NIT,0.9765625,cells,V8,11.51548659,1.324367701
NIT,1.953125,cells,V8,11.75127299,1.10799196
NIT,3.90625,cells,V8,12.0707259,0.507638413
NIT,7.8125,cells,V8,11.80291399,0.722059451
NIT,15.625,cells,V8,12.98785122,0.131000778
NIT,31.25,cells,V8,12.93581007,0.539763326
NIT,62.5,cells,V8,12.96863606,0.689894367
NIT,125,cells,V8,13.00506501,0.556599882
NIT,0,cells,V9,10.45229853,1.121447512
NIT,0.48828125,cells,V9,10.88239844,2.060228023
NIT,0.9765625,cells,V9,11.82039009,1.378707766
NIT,1.953125,cells,V9,13.43535493,1.625015166
NIT,3.90625,cells,V9,13.68029928,1.079313114
NIT,7.8125,cells,V9,13.85002478,1.257859816
NIT,15.625,cells,V9,15.81408419,0.84078346
NIT,31.25,cells,V9,17.2798959,1.030884133
NIT,62.5,cells,V9,17.2175346,1.40973815
NIT,125,cells,V9,19.03437048,0.253999862
NIT,0,cells,V10,13.69344449,2.181718728
NIT,0.48828125,cells,V10,12.76008718,2.159018979
NIT,0.9765625,cells,V10,13.22742564,3.057656994
NIT,1.953125,cells,V10,14.45914113,0.908472296
NIT,3.90625,cells,V10,12.86305976,1.669650007
NIT,7.8125,cells,V10,13.49013892,2.126592684
NIT,15.625,cells,V10,16.01561723,0.773191598
NIT,31.25,cells,V10,18.65859137,1.217986818
NIT,62.5,cells,V10,20.11473507,1.132613853
NIT,125,cells,V10,16.74567034,8.219776244
NIT,0,cells,V11,10.13380043,0.66321853
NIT,0.48828125,cells,V11,9.710136794,1.546357062
NIT,0.9765625,cells,V11,10.99467633,1.124873634
NIT,1.953125,cells,V11,9.828473445,1.783344809
NIT,3.90625,cells,V11,11.72276347,1.031450255
NIT,7.8125,cells,V11,12.01996019,1.700899109
NIT,15.625,cells,V11,13.66944705,1.449708514
NIT,31.25,cells,V11,14.70557056,1.541777048
NIT,62.5,cells,V11,15.81395994,0.777077412
NIT,125,cells,V11,16.01178979,1.538698627
KET,0,supernatant,V8,1.428869164,0.088262809
KET,0.390625,supernatant,V8,1.731398085,0.137190967
KET,0.78125,supernatant,V8,1.971149529,0.200465764
KET,1.5625,supernatant,V8,1.88027106,0.203114363
KET,3.125,supernatant,V8,2.187583039,0.249925911
KET,6.25,supernatant,V8,2.15768899,0.174698435
KET,12.5,supernatant,V8,2.615069553,0.252956806
KET,25,supernatant,V8,3.603968666,0.611330726
KET,50,supernatant,V8,3.930413236,0.273185937
KET,100,supernatant,V8,3.996538809,0.120444509
KET,0,supernatant,V9,1.123763503,0.192376333
KET,0.390625,supernatant,V9,1.468203941,0.266519698
KET,0.78125,supernatant,V9,1.246672607,1.103384075
KET,1.5625,supernatant,V9,1.85312305,0.518708619
KET,3.125,supernatant,V9,2.420566045,0.234295077
KET,6.25,supernatant,V9,2.583218373,0.39434152
KET,12.5,supernatant,V9,1.723589984,0.355042391
KET,25,supernatant,V9,4.605700921,0.423156568
KET,50,supernatant,V9,3.882965336,0.430089185
KET,100,supernatant,V9,4.331914873,1.081956764
KET,0,supernatant,V10,1.644586812,0.15239363
KET,0.390625,supernatant,V10,1.837013152,0.19489564
KET,0.78125,supernatant,V10,1.67793331,0.151994375
KET,1.5625,supernatant,V10,1.830453122,0.133953364
KET,3.125,supernatant,V10,1.75993315,0.297735916
KET,6.25,supernatant,V10,1.814600172,0.104049035
KET,12.5,supernatant,V10,1.948533247,0.15937771
KET,25,supernatant,V10,2.480440039,0.223711808
KET,50,supernatant,V10,2.891533244,0.201386952
KET,100,supernatant,V10,2.839600172,0.181393038
KET,0,supernatant,V11,1.732070366,0.203193077
KET,0.390625,supernatant,V11,1.881853471,0.234752251
KET,0.78125,supernatant,V11,1.884819631,0.241223
KET,1.5625,supernatant,V11,1.95600351,0.244629051
KET,3.125,supernatant,V11,1.922636219,0.234368266
KET,6.25,supernatant,V11,2.193283549,0.488526841
KET,12.5,supernatant,V11,2.573672969,0.758664175
KET,25,supernatant,V11,2.518060633,0.285782763
KET,50,supernatant,V11,2.558842939,0.287952445
KET,100,supernatant,V11,2.893259355,0.74607878
KET,0,cells,V8,9.683633226,0.811988452
KET,0.390625,cells,V8,10.4954732,0.813419407
KET,0.78125,cells,V8,10.43022914,0.681306501
KET,1.5625,cells,V8,10.56501478,0.877913145
KET,3.125,cells,V8,11.22839502,0.766311438
KET,6.25,cells,V8,10.92092733,0.490195778
KET,12.5,cells,V8,11.67729008,0.563319353
KET,25,cells,V8,12.40513282,0.874094033
KET,50,cells,V8,NA,NA
KET,100,cells,V8,13.01967798,0.521396014
KET,0,cells,V9,10.0787295,1.299327852
KET,0.390625,cells,V9,11.10215301,1.469216821
KET,0.78125,cells,V9,12.36712949,1.456320791
KET,1.5625,cells,V9,13.47382514,1.58128207
KET,3.125,cells,V9,14.41588298,0.759025751
KET,6.25,cells,V9,13.58697345,0.908806173
KET,12.5,cells,V9,12.25398085,1.51461926
KET,25,cells,V9,17.54018459,0.807472618
KET,50,cells,V9,17.41114434,1.01484082
KET,100,cells,V9,18.03282616,1.392164591
KET,0,cells,V10,9.545360138,0.978705682
KET,0.390625,cells,V10,9.358920147,0.523768957
KET,0.78125,cells,V10,8.525053198,0.662371785
KET,1.5625,cells,V10,8.867253364,1.434503069
KET,3.125,cells,V10,7.802893223,0.451745159
