treatment,variable,dose_uM,dose_level,time,Mean,SD
DIC,LDH,0,0,0,22.75666667,1.085188156
DIC,LDH,4,1,0,19.86666667,1.463739503
DIC,LDH,8,2,0,19.62333333,1.51961618
DIC,LDH,16,3,0,20.10666667,1.389616254
DIC,LDH,32,4,0,19.75,1.613722405
DIC,LDH,64,5,0,20.76,0.409511905
DIC,LDH,125,6,0,20.16333333,1.101377925
DIC,LDH,250,7,0,19.92333333,1.026320288
DIC,LDH,500,8,0,20.73,3.565094669
DIC,LDH,1000,9,0,22.99333333,0.963604345
DIC,LDH,0,0,3,20.60333333,3.292329469
DIC,LDH,4,1,3,18.32666667,2.554649356
DIC,LDH,8,2,3,18.67333333,3.077748095
DIC,LDH,16,3,3,18.16666667,2.203005523
DIC,LDH,32,4,3,18.52333333,2.996703745
DIC,LDH,64,5,3,18.73333333,0.830321223
DIC,LDH,125,6,3,19.57333333,1.354043328
DIC,LDH,250,7,3,19.92666667,1.955769243
DIC,LDH,500,8,3,19.22666667,1.597132848
DIC,LDH,1000,9,3,22.25,1.822717751
DIC,LDH,0,0,6,22.64333333,4.755274265
DIC,LDH,4,1,6,20.43333333,3.482992009
DIC,LDH,8,2,6,19.06,3.72613741
DIC,LDH,16,3,6,19.07333333,3.605750038
DIC,LDH,32,4,6,18.66666667,2.976480024
DIC,LDH,64,5,6,18.64333333,3.144142702
DIC,LDH,125,6,6,19.5,3.638845971
DIC,LDH,250,7,6,18.91333333,2.74729564
DIC,LDH,500,8,6,20.66,3.06403329
DIC,LDH,1000,9,6,25.87,3.274858776
DIC,LDH,0,0,12,20.98,3.453881874
DIC,LDH,4,1,12,18.76333333,3.296139156
DIC,LDH,8,2,12,18.74333333,2.667889303
DIC,LDH,16,3,12,18.29,2.948881144
DIC,LDH,32,4,12,19.42,0.960624797
DIC,LDH,64,5,12,19.58333333,0.925112606
DIC,LDH,125,6,12,18.98,1.832048034
DIC,LDH,250,7,12,19.35333333,1.18593142
DIC,LDH,500,8,12,20.16,1.081156788
DIC,LDH,1000,9,12,25.16333333,2.610772555
DIC,LDH,0,0,24,23.13,1.393664235
DIC,LDH,4,1,24,22.26,0.170587221
DIC,LDH,8,2,24,20.26,0.351567917
DIC,LDH,16,3,24,20.34,0.429301759
DIC,LDH,32,4,24,21.05,1.396889401
DIC,LDH,64,5,24,19.63333333,0.344867124
DIC,LDH,125,6,24,20.45666667,1.86143314
DIC,LDH,250,7,24,26.67333333,4.442818175
DIC,LDH,500,8,24,42.36333333,9.618577511
DIC,LDH,1000,9,24,55.69,23.47404524
DIC,LDH,0,0,36,21.71,1.901814923
DIC,LDH,4,1,36,18.86,2.289606953
DIC,LDH,8,2,36,19.02,1.974107393
DIC,LDH,16,3,36,17.69666667,1.56844934
DIC,LDH,32,4,36,19.43,1.028396811
DIC,LDH,64,5,36,19.1,1.52144668
DIC,LDH,125,6,36,20.66,1.139605195
