treatment,variable,dose_uM,dose_level,time,Mean,SD
KET,LDH,0,0,0,19.71333333,1.709863542
KET,LDH,0.375,1,0,17.34333333,6.359412971
KET,LDH,0.75,2,0,15.51666667,4.443167039
KET,LDH,1.5,3,0,19.17333333,3.217644066
KET,LDH,3,4,0,20.63666667,5.676480717
KET,LDH,6,5,0,18.97,5.896609195
KET,LDH,12.5,6,0,20.51333333,5.549678669
KET,LDH,25,7,0,18.48666667,2.835777377
KET,LDH,50,8,0,23.04666667,1.398439607
KET,LDH,100,9,0,22.02,3.581633705
KET,LDH,0,0,3,18.58666667,1.774720635
KET,LDH,0.375,1,3,21.63333333,1.663049408
KET,LDH,0.75,2,3,20.8,4.011346407
KET,LDH,1.5,3,3,21.62666667,3.190553766
KET,LDH,3,4,3,18.06666667,2.173070025
KET,LDH,6,5,3,19.95333333,2.312149072
KET,LDH,12.5,6,3,17.61333333,1.476967614
KET,LDH,25,7,3,14.99333333,3.333291666
KET,LDH,50,8,3,17.99333333,3.855986687
KET,LDH,100,9,3,22.83666667,9.088813637
KET,LDH,0,0,6,20.26666667,4.324191639
KET,LDH,0.375,1,6,18.97333333,0.685954323
KET,LDH,0.75,2,6,21.00666667,4.291227486
KET,LDH,1.5,3,6,17.88,1.61108659
KET,LDH,3,4,6,19.20666667,2.864268377
KET,LDH,6,5,6,18.02333333,1.297471901
KET,LDH,12.5,6,6,17.72,1.65472052
KET,LDH,25,7,6,22.14666667,1.669650662
KET,LDH,50,8,6,18.92333333,4.884570947
KET,LDH,100,9,6,25.14333333,10.44180221
KET,LDH,0,0,12,20.34333333,3.761719465
KET,LDH,0.375,1,12,20.48,2.610057471
KET,LDH,0.75,2,12,17.83333333,6.735876582
KET,LDH,1.5,3,12,18.04333333,6.659627117
KET,LDH,3,4,12,18.31666667,3.984147755
KET,LDH,6,5,12,17.53333333,3.062439115
KET,LDH,12.5,6,12,20.19,6.48020833
KET,LDH,25,7,12,20.17666667,8.65185144
KET,LDH,50,8,12,22.77333333,5.861538478
KET,LDH,100,9,12,24.77333333,8.635452121
KET,LDH,0,0,24,18.84,3.356962913
KET,LDH,0.375,1,24,17.67,4.02836195
KET,LDH,0.75,2,24,20.46666667,1.745002388
KET,LDH,1.5,3,24,18.96666667,2.921169857
KET,LDH,3,4,24,17.37666667,1.43113009
KET,LDH,6,5,24,17.71666667,2.012991141
KET,LDH,12.5,6,24,17.03,1.08309741
KET,LDH,25,7,24,18.09,4.081923566
KET,LDH,50,8,24,24.73,7.208307707
KET,LDH,100,9,24,34.79666667,3.340603738
KET,LDH,0,0,36,22.03,1.917889465
KET,LDH,0.375,1,36,22.39666667,1.802923552
KET,LDH,0.75,2,36,23.45,1.296880873
KET,LDH,1.5,3,36,23.80666667,2.23806464
KET,LDH,3,4,36,21.84666667,2.546415782
KET,LDH,6,5,36,23.04333333,1.584466261
KET,LDH,12.5,6,36,21.06,1.576451712
KET,LDH,25,7,36,23.63,1.957319596
KET,LDH,50,8,36,32.38666667,5.070003287
KET,LDH,100,9,36,51.5,6.763039258
KET,LDH,0,0,48,19.6,2.67561208
KET,LDH,0.375,1,48,20.21,2.717572446
KET,LDH,0.75,2,48,22.54666667,0.453908948
KET,LDH,1.5,3,48,20.54666667,3.172953409
KET,LDH,3,4,48,18.07333333,5.067310266
KET,LDH,6,5,48,17.45,3.435010917
KET,LDH,12.5,6,48,17.55333333,2.548829797
KET,LDH,25,7,48,20.50666667,4.572770859
KET,LDH,50,8,48,32.71,5.607860555
KET,LDH,100,9,48,46.56333333,8.316275208
KET,LDH,0,0,60,21.91,3.26586895
