treatment,variable,dose_uM,dose_level,time,Mean,SD
NIT,LDH,0,0,0,12.8541498,2.121623031
NIT,LDH,0.5,1,0,12.2407225,3.120761861
NIT,LDH,1,2,0,11.00983951,2.827717817
NIT,LDH,2,3,0,12.09419977,3.877824063
NIT,LDH,4,4,0,11.71713352,3.475192133
NIT,LDH,8,5,0,11.76967255,3.917264349
NIT,LDH,16,6,0,12.3599428,3.889671248
NIT,LDH,31,7,0,12.44100738,4.223988126
NIT,LDH,62,8,0,12.75117282,3.622378335
NIT,LDH,125,9,0,14.70452247,2.601296917
NIT,LDH,0,0,3,13.77776409,0.474134556
NIT,LDH,0.5,1,3,13.62873504,1.587607945
NIT,LDH,1,2,3,11.62141938,1.298149738
NIT,LDH,2,3,3,11.25465263,1.095053684
NIT,LDH,4,4,3,11.17660264,1.260615269
NIT,LDH,8,5,3,11.37303911,1.916763592
NIT,LDH,16,6,3,12.34311747,2.19730838
NIT,LDH,31,7,3,11.26654133,1.863793208
NIT,LDH,62,8,3,11.47904056,1.538470592
NIT,LDH,125,9,3,13.89936136,2.019327019
NIT,LDH,0,0,6,15.80860104,1.762362588
NIT,LDH,0.5,1,6,14.30647071,1.12090783
NIT,LDH,1,2,6,11.90474792,2.376498731
NIT,LDH,2,3,6,12.95124156,0.807347718
NIT,LDH,4,4,6,12.47086682,1.839710371
NIT,LDH,8,5,6,11.11661187,1.422670908
NIT,LDH,16,6,6,12.26393757,2.010119672
NIT,LDH,31,7,6,12.83085188,1.757151115
NIT,LDH,62,8,6,12.79585839,1.711834171
NIT,LDH,125,9,6,14.88312344,1.229711698
NIT,LDH,0,0,12,12.54181392,2.12996792
NIT,LDH,0.5,1,12,12.07624965,3.491719386
NIT,LDH,1,2,12,10.51009139,2.97039945
NIT,LDH,2,3,12,11.29168311,3.164574835
NIT,LDH,4,4,12,11.2845074,3.244898243
NIT,LDH,8,5,12,11.87019653,4.049176232
NIT,LDH,16,6,12,11.36102844,2.264524177
NIT,LDH,31,7,12,12.26376026,2.311552407
NIT,LDH,62,8,12,13.71327784,4.169002896
NIT,LDH,125,9,12,20.01454207,10.80473231
NIT,LDH,0,0,24,11.58243029,3.143300354
NIT,LDH,0.5,1,24,9.028486748,3.476048347
NIT,LDH,1,2,24,9.765494764,1.636985568
NIT,LDH,2,3,24,10.08767101,2.121013654
NIT,LDH,4,4,24,10.03904817,0.619824442
NIT,LDH,8,5,24,10.82191019,1.15838792
NIT,LDH,16,6,24,11.81042355,1.828599777
NIT,LDH,31,7,24,14.21597732,1.058931772
NIT,LDH,62,8,24,15.24319653,3.965829559
