"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","timepoints","data4modelInterpol","data4modelReal","timeID_orig"
"1","CHOP",1,"KET",1,NA,6.59,6.59,0,NA,NA,NA
"2","CHOP",1,"KET",2,0.8,6.59,6.59,1,0.531701225753244,0.530877275085079,1
"3","CHOP",1,"KET",3,2.3,6.59,6.59,2,0.535482644366996,0.536389298179504,2
"4","CHOP",1,"KET",4,NA,6.59,6.59,3,0.537999874177856,NA,NA
"5","CHOP",1,"KET",5,3.8,6.59,6.59,4,0.540141822574472,0.539651555420934,3
"6","CHOP",1,"KET",6,5.3,6.59,6.59,5,0.542471291480576,0.542826792232798,4
"7","CHOP",1,"KET",7,NA,6.59,6.59,6,0.54254772879021,NA,NA
"8","CHOP",1,"KET",8,6.8,6.59,6.59,7,0.539920798007841,0.540610234744494,5
"9","CHOP",1,"KET",9,8.3,6.59,6.59,8,0.537415090696862,0.537702539556683,6
"10","CHOP",1,"KET",10,NA,6.59,6.59,9,0.540775376394095,NA,NA
"11","CHOP",1,"KET",11,9.8,6.59,6.59,10,0.543769629450866,0.543827586937479,7
"12","CHOP",1,"KET",12,11.3,6.59,6.59,11,0.540483076303533,0.539847004160454,8
"13","CHOP",1,"KET",13,NA,6.59,6.59,12,0.540687164708081,NA,NA
"14","CHOP",1,"KET",14,12.8,6.59,6.59,13,0.541324787316613,0.541714556586931,9
"15","CHOP",1,"KET",15,14.3,6.59,6.59,14,0.537105941202242,0.536237882065897,10
"16","CHOP",1,"KET",16,NA,6.59,6.59,15,0.536660001810082,NA,NA
"17","CHOP",1,"KET",17,15.8,6.59,6.59,16,0.54050122438309,0.539648906626972,11
"18","CHOP",1,"KET",18,NA,6.59,6.59,17,0.543578691914886,NA,NA
"19","CHOP",1,"KET",19,18,6.59,6.59,18,0.541706322280837,0.541706322280837,12
"20","CHOP",1,"KET",20,NA,6.59,6.59,19,0.533607778288184,NA,NA
"21","CHOP",1,"KET",21,19.5,6.59,6.59,20,0.528717396168437,0.530128764658513,13
"22","CHOP",1,"KET",22,21,6.59,6.59,21,0.529629695418972,0.529629695418972,14
"23","CHOP",1,"KET",23,22.5,6.59,6.59,22,0.530556806537721,0.530558597201788,15
"24","CHOP",1,"KET",24,NA,6.59,6.59,23,0.530258790274143,NA,NA
"25","CHOP",1,"KET",25,24,6.59,6.59,24,0.528908946652196,0.528908946652196,16
"26","CHOP",1,"KET",26,NA,6.59,6.59,25,0.526885217841595,NA,NA
"27","CHOP",1,"KET",27,25.5,6.59,6.59,26,0.52467475241579,0.525778026977175,17
"28","CHOP",1,"KET",28,27,6.59,6.59,27,0.522274000164979,0.522274000164979,18
"29","CHOP",1,"KET",29,28.5,6.59,6.59,28,0.51984693908582,0.519486256401469,19
"30","CHOP",1,"KET",30,NA,6.59,6.59,29,0.520115359984946,NA,NA
"31","CHOP",1,"KET",31,30,6.59,6.59,30,0.522424987094435,0.522424987094435,20
"32","CHOP",1,"KET",32,NA,6.59,6.59,31,0.522250294689481,NA,NA
"33","CHOP",1,"KET",33,31.5,6.59,6.59,32,0.515987332189613,0.519992395487242,21
"34","CHOP",1,"KET",34,33,6.59,6.59,33,0.507627898703916,0.507627898703916,22
"35","CHOP",1,"KET",35,34.5,6.59,6.59,34,0.505392452583962,0.505472793347906,23
"36","CHOP",1,"KET",36,NA,6.59,6.59,35,0.505202103382986,NA,NA
"37","CHOP",1,"KET",37,36,6.59,6.59,36,0.50143069069849,0.50143069069849,24
"38","CHOP",1,"KET",38,NA,6.59,6.59,37,0.4930426946022,NA,NA
"39","CHOP",1,"KET",39,37.5,6.59,6.59,38,0.490276018241041,0.490336844460624,25
"40","CHOP",1,"KET",40,39,6.59,6.59,39,0.491221127970307,0.491221127970307,26
"41","CHOP",1,"KET",41,40.5,6.59,6.59,40,0.484252348648597,0.480369937410177,27
"42","CHOP",1,"KET",42,NA,6.59,6.59,41,0.478093734214477,NA,NA
"43","CHOP",1,"KET",43,42,6.59,6.59,42,0.473567145351712,0.473567145351712,28
"44","CHOP",1,"KET",44,NA,6.59,6.59,43,0.46345251729385,NA,NA
"45","CHOP",1,"KET",45,43.5,6.59,6.59,44,0.460193819823809,0.460104842679326,29
"46","CHOP",1,"KET",46,45,6.59,6.59,45,0.463463536806485,0.463463536806485,30
"47","CHOP",1,"KET",47,46.5,6.59,6.59,46,0.459886946298148,0.457021431776984,31
"48","CHOP",1,"KET",48,NA,6.59,6.59,47,0.454684857919403,NA,NA
"49","CHOP",1,"KET",49,48,6.59,6.59,48,0.445551097229757,0.445551097229757,32
"50","CHOP",1,"KET",50,NA,6.59,6.59,49,0.425809760970259,NA,NA
"51","CHOP",1,"KET",51,49.5,6.59,6.59,50,0.419476549802288,0.41936902249645,33
"52","CHOP",1,"KET",52,51,6.59,6.59,51,0.428419395686375,0.428419395686375,34
"53","CHOP",1,"KET",53,52.5,6.59,6.59,52,0.429480241300561,0.425652574960755,35
"54","CHOP",1,"KET",54,NA,6.59,6.59,53,0.419613758603511,NA,NA
"55","CHOP",1,"KET",55,54,6.59,6.59,54,0.410008846952192,0.410008846952192,36
"56","CHOP",1,"KET",56,NA,6.59,6.59,55,0.412530187211734,NA,NA
"57","CHOP",1,"KET",57,55.5,6.59,6.59,56,0.407489220472109,0.412313240808398,37
"58","CHOP",1,"KET",58,57,6.59,6.59,57,0.395672686260096,0.395672686260096,38
"59","CHOP",1,"KET",59,58.5,6.59,6.59,58,0.395938488094333,0.394176791630621,39
"60","CHOP",1,"KET",60,NA,6.59,6.59,59,0.386880194406998,NA,NA
"61","CHOP",1,"KET",61,60,6.59,6.59,60,0.366188197468746,0.366188197468746,40
"62","CHOP",1,"KET",62,NA,6.59,6.59,61,0.354961386686993,NA,NA
"63","CHOP",1,"KET",63,61.5,6.59,6.59,62,0.35011484495779,0.35230630843433,41
"64","NRF2",1,"KET",1,NA,6.59,6.59,0,NA,NA,NA
"65","NRF2",1,"KET",2,NA,6.59,6.59,1,NA,NA,NA
"66","NRF2",1,"KET",3,NA,6.59,6.59,2,NA,NA,NA
"67","NRF2",1,"KET",4,3.1,6.59,6.59,3,1.12969880555961,1.13165512512521,1
"68","NRF2",1,"KET",5,NA,6.59,6.59,4,1.14543010653932,NA,NA
"69","NRF2",1,"KET",6,5.1,6.59,6.59,5,1.13277174613872,1.12873054605333,2
