"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","timepoints","data4modelInterpol","data4modelReal","timeID_orig"
"1","BTG2",1,"CDDP",1,NA,1,1,0,NA,NA,NA
"2","BTG2",1,"CDDP",2,0.8,1,1,1,0.489919629354415,0.500854136281264,1
"3","BTG2",1,"CDDP",3,2.3,1,1,2,0.448753025079987,0.445495429057749,2
"4","BTG2",1,"CDDP",4,NA,1,1,3,0.458800247140618,NA,NA
"5","BTG2",1,"CDDP",5,3.8,1,1,4,0.49291301970536,0.487313424897095,3
"6","BTG2",1,"CDDP",6,5.3,1,1,5,0.510976434563322,0.516032667347394,4
"7","BTG2",1,"CDDP",7,NA,1,1,6,0.530517855674682,NA,NA
"8","BTG2",1,"CDDP",8,6.8,1,1,7,0.541158658567844,0.541201585375363,5
"9","BTG2",1,"CDDP",9,8.3,1,1,8,0.529805421415437,0.526100144754208,6
"10","BTG2",1,"CDDP",10,NA,1,1,9,0.522536093261797,NA,NA
"11","BTG2",1,"CDDP",11,9.8,1,1,10,0.527044223192873,0.525506545765057,7
"12","BTG2",1,"CDDP",12,11.3,1,1,11,0.536635028030771,0.53940849275407,8
"13","BTG2",1,"CDDP",13,NA,1,1,12,0.545584273800277,NA,NA
"14","BTG2",1,"CDDP",14,12.8,1,1,13,0.564731837064842,0.559152964645057,9
"15","BTG2",1,"CDDP",15,14.3,1,1,14,0.59713010699335,0.604265459089514,10
"16","BTG2",1,"CDDP",16,NA,1,1,15,0.613653495594095,NA,NA
"17","BTG2",1,"CDDP",17,15.8,1,1,16,0.65247390197328,0.639251432678233,11
"18","BTG2",1,"CDDP",18,17.3,1,1,17,0.73011305320839,0.742843432072664,12
"19","BTG2",1,"CDDP",19,NA,1,1,18,0.738767759015478,NA,NA
"20","BTG2",1,"CDDP",20,18.8,1,1,19,0.751047462597943,0.739534428110741,13
"21","BTG2",1,"CDDP",21,20.3,1,1,20,0.848816331468673,0.872424131075945,14
"22","BTG2",1,"CDDP",22,NA,1,1,21,0.892846531940004,NA,NA
"23","BTG2",1,"CDDP",23,21.8,1,1,22,0.922972132276481,0.910477832053633,15
"24","BTG2",1,"CDDP",24,23.3,1,1,23,1.01177169997139,1.03134236171888,16
