"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","timepoints","data4modelInterpol","data4modelReal","timeID_orig"
"1","BTG2",1,"NIT",1,NA,5.99,5.99,0,NA,NA,NA
"2","BTG2",1,"NIT",2,0.8,5.99,5.99,1,0.466265152579395,0.475511671638736,1
"3","BTG2",1,"NIT",3,2.3,5.99,5.99,2,0.436172180255884,0.438009713310428,2
"4","BTG2",1,"NIT",4,NA,5.99,5.99,3,0.465362506378481,NA,NA
"5","BTG2",1,"NIT",5,3.8,5.99,5.99,4,0.499826614023341,0.497768011484379,3
"6","BTG2",1,"NIT",6,5.3,5.99,5.99,5,0.488954159537911,0.489513421939724,4
"7","BTG2",1,"NIT",7,NA,5.99,5.99,6,0.509094551794798,NA,NA
"8","BTG2",1,"NIT",8,6.8,5.99,5.99,7,0.509725907843282,0.517428728353733,5
"9","BTG2",1,"NIT",9,8.3,5.99,5.99,8,0.438691850951861,0.422556011975133,6
"10","BTG2",1,"NIT",10,NA,5.99,5.99,9,0.418676435608598,NA,NA
"11","BTG2",1,"NIT",11,9.8,5.99,5.99,10,0.461769724080049,0.451337077643685,7
"12","BTG2",1,"NIT",12,11.3,5.99,5.99,11,0.502414958662069,0.505039917839455,8
"13","BTG2",1,"NIT",13,NA,5.99,5.99,12,0.489114418173738,NA,NA
"14","BTG2",1,"NIT",14,12.8,5.99,5.99,13,0.464523864979734,0.465834868904796,9
"15","BTG2",1,"NIT",15,14.3,5.99,5.99,14,0.474665312895964,0.474887442470823,10
"16","BTG2",1,"NIT",16,NA,5.99,5.99,15,0.460720872010648,NA,NA
"17","BTG2",1,"NIT",17,15.8,5.99,5.99,16,0.452340546494889,0.449407152891391,11
"18","BTG2",1,"NIT",18,17.3,5.99,5.99,17,0.480901886953305,0.482338499555421,12
"19","BTG2",1,"NIT",19,NA,5.99,5.99,18,0.459246327792634,NA,NA
"20","BTG2",1,"NIT",20,18.8,5.99,5.99,19,0.428774443480998,0.429651171020476,13
"21","BTG2",1,"NIT",21,20.3,5.99,5.99,20,0.458062153139997,0.469893664607372,14
"22","BTG2",1,"NIT",22,NA,5.99,5.99,21,0.487487611012715,NA,NA
"23","BTG2",1,"NIT",23,21.8,5.99,5.99,22,0.474981729150176,0.481743405533593,15
"24","BTG2",1,"NIT",24,23.3,5.99,5.99,23,0.437622532506694,0.436411724116666,16
"25","BTG2",1,"NIT",25,NA,5.99,5.99,24,0.46378503245351,NA,NA
