"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","timepoints","data4modelInterpol","data4modelReal","timeID_orig"
"1","BTG2",1,"THAP",1,NA,1e-06,1e-06,0,NA,NA,NA
"2","BTG2",1,"THAP",2,0.8,1e-06,1e-06,1,0.503958796468384,0.506991086804794,1
"3","BTG2",1,"THAP",3,2.3,1e-06,1e-06,2,0.489272429926484,0.485186354067193,2
"4","BTG2",1,"THAP",4,NA,1e-06,1e-06,3,0.478763151779745,NA,NA
"5","BTG2",1,"THAP",5,3.8,1e-06,1e-06,4,0.498190957207924,0.490174875715147,3
"6","BTG2",1,"THAP",6,5.3,1e-06,1e-06,5,0.54804658335077,0.556783393317435,4
"7","BTG2",1,"THAP",7,NA,1e-06,1e-06,6,0.552514412761696,NA,NA
"8","BTG2",1,"THAP",8,6.8,1e-06,1e-06,7,0.517019193427993,0.524499567348462,5
"9","BTG2",1,"THAP",9,8.3,1e-06,1e-06,8,0.485308140724088,0.477910292789325,6
"10","BTG2",1,"THAP",10,NA,1e-06,1e-06,9,0.466679893880899,NA,NA
"11","BTG2",1,"THAP",11,9.8,1e-06,1e-06,10,0.481789812117007,0.474725172453391,7
"12","BTG2",1,"THAP",12,11.3,1e-06,1e-06,11,0.526030685778879,0.533121884403114,8
"13","BTG2",1,"THAP",13,NA,1e-06,1e-06,12,0.526036713120456,NA,NA
"14","BTG2",1,"THAP",14,12.8,1e-06,1e-06,13,0.492691364936509,0.498891235660873,9
"15","BTG2",1,"THAP",15,14.3,1e-06,1e-06,14,0.477436448642948,0.479254916326644,10
"16","BTG2",1,"THAP",16,NA,1e-06,1e-06,15,0.494808142258625,NA,NA
"17","BTG2",1,"THAP",17,15.8,1e-06,1e-06,16,0.52141570157005,0.51738868992385,11
"18","BTG2",1,"THAP",18,17.3,1e-06,1e-06,17,0.52193719030086,0.514156929125864,12
"19","BTG2",1,"THAP",19,NA,1e-06,1e-06,18,0.485759219226516,NA,NA
"20","BTG2",1,"THAP",20,18.8,1e-06,1e-06,19,0.484108654365008,0.476282692391061,13
"21","BTG2",1,"THAP",21,20.3,1e-06,1e-06,20,0.550701267765841,0.562044389735102,14
"22","BTG2",1,"THAP",22,NA,1e-06,1e-06,21,0.549558587123937,NA,NA
"23","BTG2",1,"THAP",23,21.8,1e-06,1e-06,22,0.510570387255179,0.514765145508782,15
"24","BTG2",1,"THAP",24,23.3,1e-06,1e-06,23,0.518079596229503,0.523473030761641,16
"25","BTG2",1,"THAP",25,NA,1e-06,1e-06,24,0.531545928111296,NA,NA
"26","BTG2",1,"THAP",26,24.8,1e-06,1e-06,25,0.538996918817978,0.537306345055846,17
"27","BTG2",1,"THAP",27,26.3,1e-06,1e-06,26,0.541742011013936,0.537401655352003,18
"28","BTG2",1,"THAP",28,NA,1e-06,1e-06,27,0.516662405072612,NA,NA
"29","BTG2",1,"THAP",29,27.8,1e-06,1e-06,28,0.50410085654511,0.501888797515281,19
"30","BTG2",1,"THAP",30,29.3,1e-06,1e-06,29,0.546841616756274,0.564894622559545,20
"31","BTG2",1,"THAP",31,NA,1e-06,1e-06,30,0.602510853991502,NA,NA
"32","BTG2",1,"THAP",32,30.8,1e-06,1e-06,31,0.599407673173383,0.608459310070241,21
"33","BTG2",1,"THAP",33,32.3,1e-06,1e-06,32,0.526485647735171,0.512175428180991,22
"34","BTG2",1,"THAP",34,NA,1e-06,1e-06,33,0.514874726771738,NA,NA
"35","BTG2",1,"THAP",35,33.8,1e-06,1e-06,34,0.540865669480658,0.53857250217566,23
"36","BTG2",1,"THAP",36,35.3,1e-06,1e-06,35,0.534899450876313,0.534950321285264,24
"37","BTG2",1,"THAP",37,NA,1e-06,1e-06,36,0.546565642740265,NA,NA
"38","BTG2",1,"THAP",38,36.8,1e-06,1e-06,37,0.542488189717743,0.548810500644807,25
"39","BTG2",1,"THAP",39,38.3,1e-06,1e-06,38,0.488607636809526,0.476337961462251,26
"40","BTG2",1,"THAP",40,NA,1e-06,1e-06,39,0.472026216428139,NA,NA
"41","BTG2",1,"THAP",41,39.8,1e-06,1e-06,40,0.501478233407596,0.49417244873815,27
"42","BTG2",1,"THAP",42,41.3,1e-06,1e-06,41,0.532944360067566,0.537355065777821,28
"43","BTG2",1,"THAP",43,NA,1e-06,1e-06,42,0.536659657211886,NA,NA
"44","BTG2",1,"THAP",44,42.8,1e-06,1e-06,43,0.547175536303331,0.541253197183936,29
"45","BTG2",1,"THAP",45,44.3,1e-06,1e-06,44,0.585288400524968,0.588931349998302,30
"46","BTG2",1,"THAP",46,NA,1e-06,1e-06,45,0.571301157607012,NA,NA
"47","BTG2",1,"THAP",47,45.8,1e-06,1e-06,46,0.545150893083433,0.545821462537486,31
"48","BTG2",1,"THAP",48,47.3,1e-06,1e-06,47,0.568558797194438,0.576057305967888,32
"49","BTG2",1,"THAP",49,NA,1e-06,1e-06,48,0.581180479450236,NA,NA
"50","BTG2",1,"THAP",50,48.8,1e-06,1e-06,49,0.571661242546727,0.574035403658734,33
"51","BTG2",1,"THAP",51,50.3,1e-06,1e-06,50,0.560862838030083,0.55831541517915,34
"52","BTG2",1,"THAP",52,NA,1e-06,1e-06,51,0.554100708495892,NA,NA
"53","BTG2",1,"THAP",53,51.8,1e-06,1e-06,52,0.551125610346388,0.551511827921306,35
"54","BTG2",1,"THAP",54,53.3,1e-06,1e-06,53,0.554360180083702,0.558407027222091,36
"55","BTG2",1,"THAP",55,NA,1e-06,1e-06,54,0.572459054064077,NA,NA
"56","BTG2",1,"THAP",56,54.8,1e-06,1e-06,55,0.571775913758307,0.576111670345403,37
"57","BTG2",1,"THAP",57,56.3,1e-06,1e-06,56,0.540781425968339,0.539164425951832,38
"58","BTG2",1,"THAP",58,NA,1e-06,1e-06,57,0.560417645623854,NA,NA
"59","BTG2",1,"THAP",59,57.8,1e-06,1e-06,58,0.577950530756736,0.581067157179111,39
"60","BTG2",1,"THAP",60,59.3,1e-06,1e-06,59,0.53078440793567,0.519364195424786,40
"61","BTG2",1,"THAP",61,NA,1e-06,1e-06,60,0.5181848491267,NA,NA
"62","BTG2",1,"THAP",62,60.8,1e-06,1e-06,61,0.554199412423396,0.545487559138402,41
"63","BTG2",1,"THAP",63,62.3,1e-06,1e-06,62,0.587771285467242,0.589295609876686,42
"64","CHOP",1,"THAP",1,NA,1e-06,1e-06,0,NA,NA,NA
"65","CHOP",1,"THAP",2,0.8,1e-06,1e-06,1,0.533671559743458,0.532252569994734,1
"66","CHOP",1,"THAP",3,2.3,1e-06,1e-06,2,0.538910964344129,0.539233606899521,2
"67","CHOP",1,"THAP",4,NA,1e-06,1e-06,3,0.537373555230009,NA,NA
"68","CHOP",1,"THAP",5,3.8,1e-06,1e-06,4,0.53571368357841,0.53541539901041,3
"69","CHOP",1,"THAP",6,5.3,1e-06,1e-06,5,0.541422662043905,0.543684049516397,4
"70","CHOP",1,"THAP",7,NA,1e-06,1e-06,6,0.548057237372546,NA,NA
"71","CHOP",1,"THAP",8,6.8,1e-06,1e-06,7,0.548117700454266,0.548943943349412,5
"72","CHOP",1,"THAP",9,8.3,1e-06,1e-06,8,0.542373552140378,0.542125167503155,6
"73","CHOP",1,"THAP",10,NA,1e-06,1e-06,9,0.546196639073143,NA,NA
"74","CHOP",1,"THAP",11,9.8,1e-06,1e-06,10,0.548689071077139,0.549571353073026,7
"75","CHOP",1,"THAP",12,11.3,1e-06,1e-06,11,0.539228704681097,0.537942637148041,8
"76","CHOP",1,"THAP",13,NA,1e-06,1e-06,12,0.541761914617435,NA,NA
"77","CHOP",1,"THAP",14,12.8,1e-06,1e-06,13,0.548262895922998,0.548029640014502,9
"78","CHOP",1,"THAP",15,14.3,1e-06,1e-06,14,0.543319053602275,0.54192061780163,10
"79","CHOP",1,"THAP",16,NA,1e-06,1e-06,15,0.542066906804432,NA,NA
"80","CHOP",1,"THAP",17,15.8,1e-06,1e-06,16,0.546524023805622,0.545566414607356,11
"81","CHOP",1,"THAP",18,NA,1e-06,1e-06,17,0.54983746634695,NA,NA
"82","CHOP",1,"THAP",19,18,1e-06,1e-06,18,0.548299945139451,0.548299945139451,12
"83","CHOP",1,"THAP",20,NA,1e-06,1e-06,19,0.541311844476918,NA,NA
"84","CHOP",1,"THAP",21,19.5,1e-06,1e-06,20,0.538422047160483,0.538749903459241,13
"85","CHOP",1,"THAP",22,21,1e-06,1e-06,21,0.5401742337991,0.5401742337991,14
"86","CHOP",1,"THAP",23,22.5,1e-06,1e-06,22,0.538501158118423,0.537332242449016,15
"87","CHOP",1,"THAP",24,NA,1e-06,1e-06,23,0.536814103055866,NA,NA
"88","CHOP",1,"THAP",25,24,1e-06,1e-06,24,0.535899968025231,0.535899968025231,16
"89","CHOP",1,"THAP",26,NA,1e-06,1e-06,25,0.532829561336924,NA,NA
"90","CHOP",1,"THAP",27,25.5,1e-06,1e-06,26,0.532017597280888,0.531828429872883,17
"91","CHOP",1,"THAP",28,27,1e-06,1e-06,27,0.533516918683891,0.533516918683891,18
"92","CHOP",1,"THAP",29,28.5,1e-06,1e-06,28,0.532737871259089,0.531975721276801,19
"93","CHOP",1,"THAP",30,NA,1e-06,1e-06,29,0.531481603622464,NA,NA
"94","CHOP",1,"THAP",31,30,1e-06,1e-06,30,0.531448736711535,0.531448736711535,20
"95","CHOP",1,"THAP",32,NA,1e-06,1e-06,31,0.531473009122311,NA,NA
"96","CHOP",1,"THAP",33,31.5,1e-06,1e-06,32,0.526355646319117,0.529834810268636,21
"97","CHOP",1,"THAP",34,33,1e-06,1e-06,33,0.518257382196551,0.518257382196551,22
"98","CHOP",1,"THAP",35,34.5,1e-06,1e-06,34,0.515262853435571,0.515332796987173,23
"99","CHOP",1,"THAP",36,NA,1e-06,1e-06,35,0.51566237908864,NA,NA
"100","CHOP",1,"THAP",37,36,1e-06,1e-06,36,0.512998006035421,0.512998006035421,24
"101","CHOP",1,"THAP",38,NA,1e-06,1e-06,37,0.503374211209033,NA,NA
"102","CHOP",1,"THAP",39,37.5,1e-06,1e-06,38,0.501035698121392,0.500398494397711,25
"103","CHOP",1,"THAP",40,39,1e-06,1e-06,39,0.503371687249498,0.503371687249498,26
"104","CHOP",1,"THAP",41,40.5,1e-06,1e-06,40,0.494084436422992,0.489151153943081,27
"105","CHOP",1,"THAP",42,NA,1e-06,1e-06,41,0.486944106493385,NA,NA
"106","CHOP",1,"THAP",43,42,1e-06,1e-06,42,0.484284491288729,0.484284491288729,28
"107","CHOP",1,"THAP",44,NA,1e-06,1e-06,43,0.475213739856016,NA,NA
"108","CHOP",1,"THAP",45,43.5,1e-06,1e-06,44,0.471858166761048,0.471938398383625,29
"109","CHOP",1,"THAP",46,45,1e-06,1e-06,45,0.473337437293181,0.473337437293181,30
"110","CHOP",1,"THAP",47,46.5,1e-06,1e-06,46,0.466681389499274,0.464409061019718,31
"111","CHOP",1,"THAP",48,NA,1e-06,1e-06,47,0.465354323939798,NA,NA
"112","CHOP",1,"THAP",49,48,1e-06,1e-06,48,0.464738922185075,0.464738922185075,32
"113","CHOP",1,"THAP",50,NA,1e-06,1e-06,49,0.446904509699693,NA,NA
"114","CHOP",1,"THAP",51,49.5,1e-06,1e-06,50,0.438952367892096,0.439667356001993,33
"115","CHOP",1,"THAP",52,51,1e-06,1e-06,51,0.449724377341698,0.449724377341698,34
"116","CHOP",1,"THAP",53,52.5,1e-06,1e-06,52,0.459271781540505,0.458519742871976,35
"117","CHOP",1,"THAP",54,NA,1e-06,1e-06,53,0.452658595979287,NA,NA
"118","CHOP",1,"THAP",55,54,1e-06,1e-06,54,0.439536748818835,0.439536748818835,36
"119","CHOP",1,"THAP",56,NA,1e-06,1e-06,55,0.442179823935647,NA,NA
"120","CHOP",1,"THAP",57,55.5,1e-06,1e-06,56,0.442400051204281,0.444056496820799,37
"121","CHOP",1,"THAP",58,57,1e-06,1e-06,57,0.436243508238007,0.436243508238007,38
"122","CHOP",1,"THAP",59,58.5,1e-06,1e-06,58,0.437595430412093,0.437412206928483,39
"123","CHOP",1,"THAP",60,NA,1e-06,1e-06,59,0.433843696993456,NA,NA
"124","CHOP",1,"THAP",61,60,1e-06,1e-06,60,0.418086582398211,0.418086582398211,40
"125","CHOP",1,"THAP",62,NA,1e-06,1e-06,61,0.401372077900779,NA,NA
"126","CHOP",1,"THAP",63,61.5,1e-06,1e-06,62,0.413611530871933,0.402463708218216,41
"127","HMOX1",1,"THAP",1,NA,1e-06,1e-06,0,NA,NA,NA
"128","HMOX1",1,"THAP",2,0.7,1e-06,1e-06,1,0.69815360629616,0.656696918544065,1
"129","HMOX1",1,"THAP",3,NA,1e-06,1e-06,2,0.824964444772745,NA,NA
"130","HMOX1",1,"THAP",4,2.7,1e-06,1e-06,3,0.909350866181187,0.890297479270671,2
"131","HMOX1",1,"THAP",5,NA,1e-06,1e-06,4,0.937577339437056,NA,NA
"132","HMOX1",1,"THAP",6,4.7,1e-06,1e-06,5,0.927766616152338,0.933484704161968,3
"133","HMOX1",1,"THAP",7,NA,1e-06,1e-06,6,0.894871876188598,NA,NA
"134","HMOX1",1,"THAP",8,6.7,1e-06,1e-06,7,0.843513859750936,0.860493859989708,4
"135","HMOX1",1,"THAP",9,NA,1e-06,1e-06,8,0.799290273368436,NA,NA
"136","HMOX1",1,"THAP",10,8.7,1e-06,1e-06,9,0.824330490822841,0.806045827181994,5
