,init_value,est_value
buildA4Base,0.18636833816824067,0.008387897171726512
V_A4S,0.5604537163667563,0.13531063605962101
Vmax_C,0.4973660020609166,0.32905807480248966
nC,2.0,2.0718031632119907
K_C,0.2392915050626255,0.7875258221483845
k_K1_mod,0.7053150025874504,999.9999999965456
k_K1_unmod,0.4619544808008864,20.484024124577704
buildN2Base,0.6459726158800879,0.16028721611905275
V_degN2,0.8686001477596823,0.14444413987802998
buildS1Base,0.8382077772450194,522.774334108144
Vmax_S1,0.5756978328592528,999.9977045208288
nS1,2.0,6.826606398812103
K_S1,0.8310117929341665,0.9972191395037974
V_N2A4,0.05,0.09999999999988171
degradA4,0.607007351730824,0.027319636472821388
degradC,0.8165987348888978,0.10802006355836856
degradN2,0.31680233730483437,0.19789947458746193
degradS1,2.1777845527939133,1159.2508930330855
